id,student_name,house,potions,herbology,darkarts,flying
1,Wizard2100,Slytherin,88,87,75,94
2,Wizard40,Hufflepuff,61,44,75,73
3,Wizard1501,Slytherin,84,77,72,84
4,Wizard293,Hufflepuff,47,81,52,77
5,Wizard1205,Hufflepuff,72,57,78,44
6,Wizard2643,Ravenclaw,92,88,91,95
7,Wizard2645,Slytherin,72,89,78,86
8,Wizard1420,Ravenclaw,89,93,94,90
9,Wizard1204,Gryffindor,74,69,78,52
10,Molly Dumbledore,Slytherin,77,77,93,82
11,Wizard4017,Gryffindor,69,74,85,57
12,Wizard2937,Gryffindor,52,68,68,77
13,Wizard3725,Ravenclaw,95,100,89,99
14,Wizard993,Slytherin,86,94,95,82
15,Wizard2598,Slytherin,86,84,82,76
16,Wizard1870,Hufflepuff,42,42,82,73
17,Wizard3943,Ravenclaw,88,88,98,86
18,Wizard3907,Ravenclaw,92,98,89,92
19,Wizard3609,Slytherin,75,92,93,87
20,Salazar Zabini,Ravenclaw,87,91,100,100
21,Wizard4072,Ravenclaw,90,91,87,90
22,Wizard1412,Gryffindor,59,84,88,84
23,Wizard3414,Slytherin,84,85,78,77
24,Wizard2194,Ravenclaw,92,87,99,90
25,Wizard299,Slytherin,92,74,93,94
26,Wizard1164,Ravenclaw,98,97,91,93
27,Wizard726,Ravenclaw,90,91,89,98
28,Wizard906,Gryffindor,59,63,68,81
29,Godric Tonks,Slytherin,91,95,76,91
30,Wizard272,Ravenclaw,96,85,98,85
31,Wizard3111,Ravenclaw,89,93,98,85
32,Wizard3965,Hufflepuff,44,42,56,75
33,Wizard2757,Slytherin,79,91,71,87
34,Filius Lupin,Ravenclaw,94,98,87,90
35,Wizard4008,Gryffindor,57,55,79,83
36,Remus Black,Hufflepuff,44,53,51,49
37,Wizard3999,Gryffindor,64,71,81,72
38,Wizard2183,Hufflepuff,77,58,56,63
39,Bridget Crouch,Ravenclaw,85,100,98,88
40,Wizard810,Gryffindor,65,64,69,77
41,Wizard1382,Slytherin,72,81,90,73
42,Wizard106,Gryffindor,52,88,87,61
43,Wizard3440,Hufflepuff,79,72,75,69
44,Molly Pucey,Slytherin,84,94,73,71
45,Wizard2378,Hufflepuff,57,45,76,83
46,Wizard4042,Ravenclaw,96,87,87,98
47,Wizard682,Slytherin,87,92,90,77
48,Tom Tonks,Gryffindor,76,52,83,78
49,Wizard414,Hufflepuff,76,82,80,50
50,Wizard2017,Hufflepuff,85,68,67,73
51,Wizard1313,Hufflepuff,77,58,52,77
52,Wizard2921,Gryffindor,74,85,71,76
53,Wizard2570,Hufflepuff,46,43,60,40
54,Wizard3750,Gryffindor,57,80,78,60
55,Hepzibah Selwyn,Ravenclaw,91,95,87,95
56,Wizard3136,Gryffindor,82,61,62,53
57,Wizard3939,Slytherin,94,88,93,71
58,Wizard1691,Slytherin,74,72,82,88
59,Wizard848,Gryffindor,70,65,74,88
60,Wizard3279,Gryffindor,57,69,67,86
61,Wizard4,Slytherin,74,78,76,88
62,Wizard3487,Slytherin,82,94,93,93
63,Bellatrix Lestrange,Ravenclaw,89,86,91,100
64,Wizard1665,Slytherin,77,81,95,72
65,Lucius Grindelwald,Slytherin,74,92,87,79
66,Wizard3242,Gryffindor,58,81,89,83
67,Wizard3785,Hufflepuff,59,57,57,50
68,Tom Lupin,Hufflepuff,49,77,58,45
69,Wizard1992,Slytherin,72,82,79,93
70,Wizard2535,Slytherin,71,90,80,88
71,Wizard3424,Hufflepuff,56,74,57,53
72,Hepzibah Flitwick,Ravenclaw,94,95,89,94
73,Minerva Hooch,Hufflepuff,52,81,54,64
74,Wizard2352,Ravenclaw,94,98,94,88
75,Wizard2704,Gryffindor,86,77,65,57
76,Horace McGonagall,Slytherin,83,88,71,72
77,Nymphadora Crabbe,Gryffindor,56,90,78,90
78,Wizard2891,Hufflepuff,67,79,50,71
79,Wizard1684,Hufflepuff,52,63,82,53
80,Wizard834,Ravenclaw,96,86,89,93
81,Kingsley Greengrass,Hufflepuff,83,47,78,64
82,Wizard3515,Ravenclaw,96,92,89,98
83,Wizard3877,Hufflepuff,41,56,74,54
84,Wizard3569,Slytherin,82,86,79,74
85,Hepzibah Greengrass,Hufflepuff,73,45,74,83
86,Wizard1458,Hufflepuff,62,81,70,61
87,Wizard2797,Hufflepuff,84,72,47,45
88,Wizard1060,Ravenclaw,85,100,86,85
89,Rubeus Crabbe,Ravenclaw,88,93,87,92
90,Wizard1115,Slytherin,85,93,73,74
91,Wizard3738,Ravenclaw,92,100,87,88
92,Wizard1988,Hufflepuff,50,63,71,50
93,Wizard2952,Ravenclaw,86,87,100,86
94,Wizard510,Ravenclaw,98,88,91,97
95,Wizard85,Hufflepuff,48,48,65,61
96,Remus Riddle,Ravenclaw,90,94,96,100
97,Wizard1929,Ravenclaw,94,92,91,87
98,Wizard1089,Gryffindor,72,65,77,79
99,Severus Goyle,Hufflepuff,58,74,61,75
100,Wizard603,Gryffindor,54,52,79,89
101,Wizard3359,Ravenclaw,99,90,85,93
102,Wizard3805,Gryffindor,85,61,64,62
103,Godric Selwyn,Slytherin,93,84,95,83
104,Wizard3120,Ravenclaw,96,95,100,98
105,Horace Greengrass,Ravenclaw,86,93,97,97
106,Wizard3132,Hufflepuff,44,62,65,56
107,Wizard2459,Hufflepuff,62,43,78,64
108,Wizard3085,Gryffindor,76,75,80,55
109,Wizard926,Slytherin,92,77,73,70
110,Wizard2544,Ravenclaw,99,99,87,86
111,Wizard1097,Ravenclaw,100,100,99,98
112,Wizard4078,Gryffindor,74,66,65,83
113,Wizard2989,Ravenclaw,92,87,96,100
114,Wizard4079,Gryffindor,55,73,82,59
115,Wizard2301,Slytherin,90,86,71,86
116,Wizard4053,Gryffindor,51,72,70,75
117,Horace Riddle,Hufflepuff,57,62,56,72
118,Wizard484,Gryffindor,72,61,81,70
119,Molly Crabbe,Gryffindor,51,60,55,83
120,Wizard1526,Ravenclaw,89,93,97,91
121,Wizard1002,Gryffindor,71,83,88,87
122,Wizard479,Gryffindor,86,86,76,64
123,Wizard14,Hufflepuff,81,57,75,71
124,Wizard2363,Hufflepuff,59,60,63,61
125,Wizard1389,Slytherin,88,81,72,84
126,Hepzibah Weasley,Gryffindor,69,71,70,50
127,Wizard3213,Slytherin,94,78,77,71
128,Wizard1751,Slytherin,91,89,85,91
129,Wizard3526,Gryffindor,66,79,74,81
130,Wizard2103,Ravenclaw,96,98,95,94
131,Filius Goyle,Hufflepuff,47,59,66,70
132,Kingsley Pucey,Gryffindor,90,52,84,56
133,Wizard3536,Hufflepuff,51,65,42,70
134,Rowena Grindelwald,Gryffindor,60,90,86,73
135,Wizard544,Gryffindor,73,81,85,59
136,Wizard781,Gryffindor,71,57,62,79
137,Wizard1900,Gryffindor,75,72,58,66
138,Wizard1401,Gryffindor,62,87,77,57
139,Albus Snape,Gryffindor,50,79,65,61
140,Wizard2749,Ravenclaw,93,90,90,93
141,Wizard1044,Hufflepuff,65,58,81,84
142,Wizard2766,Gryffindor,84,87,59,84
