id,student_name,house,potions,herbology,darkarts,flying
1,Wizard3986,Gryffindor,67,57,78,87
2,Wizard2320,Hufflepuff,61,44,75,73
3,Wizard549,Ravenclaw,97,85,86,99
4,Wizard2958,Hufflepuff,47,81,52,77
5,Wizard1964,Slytherin,76,79,72,90
6,Wizard591,Ravenclaw,92,88,91,95
7,Wizard2686,Slytherin,72,89,78,86
8,Wizard4094,Slytherin,85,77,83,92
9,Wizard212,Gryffindor,74,69,78,52
10,Hepzibah Snape,Hufflepuff,55,40,43,66
11,Rowena Hagrid,Gryffindor,69,74,85,57
12,Wizard1875,Hufflepuff,40,61,42,66
13,Wizard3829,Gryffindor,51,70,75,50
14,Wizard3538,Ravenclaw,95,100,89,98
15,Wizard3486,Hufflepuff,84,53,43,81
16,Bathilda Shacklebolt,Hufflepuff,42,42,82,73
17,Wizard3717,Ravenclaw,88,88,98,86
18,Wizard2262,Gryffindor,51,82,67,60
19,Wizard2212,Slytherin,75,92,93,87
20,Minerva Lovegood,Ravenclaw,87,91,100,100
21,Wizard2552,Slytherin,74,70,85,85
22,Wizard3324,Hufflepuff,74,49,47,63
23,Wizard3011,Hufflepuff,62,74,83,73
24,Wizard2940,Slytherin,83,92,78,76
25,Wizard2746,Gryffindor,70,61,77,86
26,Wizard2392,Hufflepuff,46,82,56,66
27,Wizard3210,Gryffindor,52,57,61,50
28,Wizard1574,Hufflepuff,79,74,43,72
29,Sirius Carrow,Ravenclaw,100,85,99,96
30,Helga Snape,Slytherin,80,75,89,71
31,Wizard2517,Hufflepuff,63,47,56,83
32,Wizard2383,Ravenclaw,85,90,92,86
33,Wizard1520,Hufflepuff,84,44,84,64
34,Wizard676,Slytherin,79,86,70,92
35,Wizard2166,Hufflepuff,67,70,42,49
36,Wizard1019,Ravenclaw,97,96,96,91
37,Wizard3176,Ravenclaw,96,89,88,95
38,Wizard3373,Slytherin,71,75,90,87
39,Wizard1347,Slytherin,78,82,79,88
40,Wizard3269,Ravenclaw,95,90,89,91
41,Wizard1283,Gryffindor,86,75,87,75
42,Salazar Grindelwald,Hufflepuff,60,46,82,65
43,Wizard1391,Hufflepuff,79,72,75,69
44,Rowena Goyle,Slytherin,84,94,73,71
45,Wizard398,Hufflepuff,57,45,76,83
46,Wizard3723,Hufflepuff,85,46,68,58
47,Wizard3333,Ravenclaw,100,85,97,88
48,Wizard1398,Hufflepuff,56,57,46,72
49,Wizard2634,Ravenclaw,98,99,93,96
50,Wizard2998,Ravenclaw,98,86,95,94
51,Wizard2616,Hufflepuff,77,58,52,77
52,Wizard2822,Slytherin,76,79,90,87
